Criminal Offenses - On campus
Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,197984,Belmont Abbey College,1,Main Campus,870,0,0,2,,,0,,,0,2,17,0,1
2001,219709,Belmont University,1,Main Campus,3129,0,0,0,,,0,,,0,0,15,4,0
2001,238333,Beloit College,1,Beloit College,1273,0,0,0,,,0,,,0,1,3,0,0
2001,217721,Benedict College,1,Benedict College,2938,1,0,0,,,0,,,1,4,48,6,5
2001,154712,Benedictine College,1,Main Campus,1339,0,0,0,,,0,,,0,0,1,0,0
2001,145619,Benedictine University,1,Main Campus,2700,0,0,0,,,0,,,0,0,0,0,0
2001,165884,Benjamin Franklin Institute of Technology,1,BENJAMIN FRANKLIN INSTITUTE OF TECHNOLOGY,318,0,0,0,,,0,,,0,0,0,0,0
2001,197993,Bennett College,1,Bennett College,521,0,0,0,,,0,,,0,0,0,0,0
2001,230816,Bennington College,1,Main Campus,673,0,0,0,,,1,,,0,0,0,0,0
2001,164739,Bentley University,1,Bentley University,5587,0,0,2,,,0,,,0,5,30,3,0
2001,156295,Berea College,1,Main Campus,1673,0,0,0,,,0,,,0,2,25,4,1
2001,164748,Berklee College of Music,1,Main Campus - Boston,3415,0,0,1,,,0,,,1,2,0,2,1
2001,139144,Berry College,1,Main Campus,2038,0,0,1,,,0,,,0,0,2,0,0
2001,189273,Beth Hamedrash Shaarei Yosher Institute,1,Main Campus,133,0,0,0,,,0,,,0,0,0,0,0
2001,189264,Beth Hatalmud Rabbinical College,1,Main Campus,72,0,0,0,,,0,,,0,0,0,0,0
2001,183804,Beth Medrash Govoha,1,Main Campus,3317,0,0,0,,,0,,,0,0,0,0,0
2001,154721,Bethany College,1,Main Campus,604,0,0,1,,,0,,,0,0,1,0,0
2001,237181,Bethany College,1,Main Campus,774,0,0,0,,,0,,,0,0,2,0,1
2001,173142,Bethany Lutheran College,1,(Main Campus)  Bethany Lutheran College,401,0,0,0,,,1,,,0,0,2,0,0
2001,143233,Bethany Theological Seminary,1,Earlham  College,64,0,0,0,,,0,,,0,0,0,0,0
2001,110051,Bethany University,1,Bethany University,577,0,0,0,,,0,,,0,0,7,0,0
2001,150145,Bethel College-Indiana,1,Main Campus,1660,0,0,0,,,0,,,0,0,4,1,0
2001,154749,Bethel College-North Newton,1,Bethel College,525,0,0,0,,,0,,,0,0,4,0,0
2001,262022,Bethel Seminary-San Diego,1,Bethel Seminary San Diego,305,0,0,0,,,0,,,0,0,0,0,0
2001,173179,Bethel Seminary-St. Paul,1,Bethel University - Main Campus,887,0,0,1,,,0,,,0,3,12,3,0
2001,173160,Bethel University,1,Bethel University - Main Campus,2991,0,0,1,,,0,,,0,3,12,3,0
2001,219718,Bethel University,1,Bethel University,945,0,0,0,,,0,,,0,1,13,1,0
2001,110060,Bethesda University,1,Main Campus,262,0,0,0,,,0,,,0,0,0,0,0
2001,132602,Bethune-Cookman University,1,Main Campus,2724,0,0,0,,,0,,,2,4,9,1,0
2001,139153,Beulah Heights University,1,Beulah Heights University,557,0,0,0,,,0,,,0,0,0,4,0
2001,110097,Biola University,1,Main Campus,4317,0,0,0,,,1,,,0,0,7,4,0
2001,100937,Birmingham Southern College,1,Birmingham-Southern College,1424,0,0,0,,,0,,,0,0,2,1,1
2001,143288,Blackburn College,1,Blackburn College,571,0,0,0,,,0,,,0,0,5,0,0
2001,143297,Blessing Rieman College of Nursing,1,Main Campus,153,0,0,0,,,0,,,0,0,0,0,0
2001,183822,Bloomfield College,1,Main Campus,1769,0,0,0,,,1,,,0,3,0,7,0
2001,175430,Blue Mountain College,1,Main Campus,395,0,0,0,,,0,,,0,0,6,0,0
2001,231554,Bluefield College,1,Main Campus,851,0,0,0,,,1,,,0,0,0,0,0
2001,201371,Bluffton University,1,Main Campus,1050,0,0,0,,,0,,,0,0,4,0,0
2001,142090,Boise Bible College,1,Main Campus,109,0,0,0,,,0,,,0,0,0,0,0
2001,233356,Bon Secours Memorial College of Nursing,1,Main Campus,110,0,0,0,,,0,,,0,0,0,0,0
2001,189413,Boricua College,1,Manhattan Campus - Main Campus,1163,0,0,0,,,0,,,0,0,0,0,0
2001,164872,Boston Architectural College,1,Boston Architectural College,584,0,0,0,,,0,,,0,0,0,0,0
2001,164614,Boston Baptist College,1,Boston Baptist College,109,0,0,0,,,0,,,0,0,0,0,0
2001,164924,Boston College,1,Main Campus,14308,0,0,9,,,0,,,1,3,66,1,6
2001,164915,Boston Graduate School of Psychoanalysis Inc,1,Main Campus,133,0,0,0,,,0,,,0,0,0,0,0
2001,164988,Boston University,1,Boston University Charles River Campus,27756,0,0,2,,,0,,,5,5,46,7,0
2001,164988,Boston University,2,Boston University Medical Campus,27756,0,0,0,,,0,,,0,1,17,1,0
2001,161004,Bowdoin College,1,Main Campus,1635,0,0,0,,,0,,,0,0,11,1,1
